기간,품목명,국가명,수출중량(톤),수출금액(천불),수입중량(톤),수입금액(천불)
2020,동,나미비아,0,0,0,0
2020,동,남아프리카공화국,0,0,5056,2022
2020,동,네덜란드,,,,
2020,동,러시아연방,,,,
2020,동,말레이시아,0,0,2585,2427
2020,동,멕시코,0,0,20526,31132
2020,동,몬테네그로,,,,
2020,동,미국,0,0,52240,68619
2020,동,베트남,0,0,841,631
2020,동,브라질,0,0,14558,28899
2020,동,스웨덴,,,,
2020,동,스위스,0,0,0,0
2020,동,UAE,0,0,27903,31741
2020,동,아르메니아,,,,
2020,동,우즈베키스탄,,,,
2020,동,인도,0,0,4990,4491
2020,동,인도네시아,1006,106,107270,230747
2020,동,일본,,,,
2020,동,잠비아,0,0,0,0
2020,동,조지아,,,,
2020,동,중국,286923,387621,1,20
2020,동,칠레,0,0,764633,1235999
2020,동,카타르,,,,
2020,동,캄보디아,771,172,0,0
2020,동,캐나다,0,0,176929,453282
2020,동,콩고,0,0,72,65
2020,동,크로아티아,,,,
2020,동,태국,359,123,258,324
2020,동,터키,0,0,0,0
2020,동,파나마,0,0,91246,142959
2020,동,파푸아뉴기니,0,0,74670,192054
2020,동,페루,0,0,467940,913992
2020,동,프랑스,0,0,0,0
2020,동,핀란드,,,,
2020,동,필리핀,0,0,40,26
2020,동,호주,0,0,192930,910521
2021,동,나미비아,,,,
2021,동,남아프리카공화국,,,,
2021,동,네덜란드,0,0,0,0
2021,동,러시아연방,0,0,0,12
2021,동,말레이시아,,,,
2021,동,멕시코,0,0,10185,23815
2021,동,몬테네그로,0,0,22656,29452
2021,동,미국,0,0,25219,50841
2021,동,베트남,,,,
2021,동,브라질,0,0,43321,125083
2021,동,스웨덴,0,0,0,0
2021,동,스위스,,,,
2021,동,UAE,0,0,37527,63214
2021,동,아르메니아,0,0,7664,8748
2021,동,우즈베키스탄,0,0,0,0
2021,동,인도,,,,
2021,동,인도네시아,246,17,301262,793883
2021,동,일본,6434,12489,0,0
2021,동,잠비아,,,,
2021,동,조지아,0,0,24,38
2021,동,중국,553578,1172999,2,92
2021,동,칠레,0,0,382806,931692
2021,동,카타르,0,0,25079,47129
2021,동,캄보디아,391,157,0,0
2021,동,캐나다,0,0,214808,775225
2021,동,콩고,0,0,323,394
2021,동,크로아티아,0,0,5593,10626
2021,동,태국,15,57,0,0
2021,동,터키,0,0,0,1
2021,동,파나마,0,0,142977,365082
2021,동,파푸아뉴기니,0,0,29379,105195
2021,동,페루,0,0,451931,1288783
2021,동,프랑스,0,0,0,0
2021,동,핀란드,0,0,0,0
2021,동,필리핀,0,0,19979,69419
2021,동,호주,0,0,377214,1328508
2020,연,그리스,0,0,10954,22154
2020,연,나이지리아,0,0,0,0
2020,연,남아프리카공화국,0,0,11459,15467
2020,연,네덜란드,0,0,10931,31474
2020,연,러시아연방,0,0,17409,26767
2020,연,멕시코,0,0,114806,818353
2020,연,모로코,0,0,4698,4082
2020,연,몬테네그로,0,0,1479,2735
2020,연,미국,0,0,103163,198991
2020,연,베트남,127,64,0,0
2020,연,보스니아 헤르체고비나,0,0,1496,2434
2020,연,볼리비아,0,0,59149,143305
2020,연,세르비아,0,0,10031,21486
2020,연,스웨덴,0,0,0,0
2020,연,스위스,,,,
2020,연,스페인,,,,
2020,연,싱가포르,,,,
2020,연,UAE,0,0,0,0
2020,연,온두라스,0,0,5830,10956
2020,연,일본,,,,
2020,연,중국,0,0,0,3
2020,연,칠레,0,0,1300,3130
2020,연,캐나다,0,0,5006,9037
2020,연,태국,,,,
2020,연,터키,0,0,6457,11269
2020,연,페루,0,0,168347,394741
2020,연,호주,0,0,127811,286631
2021,연,그리스,0,0,6454,15571
2021,연,나이지리아,0,0,0,0
2021,연,남아프리카공화국,0,0,7573,13076
2021,연,네덜란드,0,0,2379,11781
2021,연,러시아연방,0,0,19879,38650
2021,연,멕시코,0,0,92773,886119
2021,연,모로코,0,0,10103,13264
2021,연,몬테네그로,0,0,7450,17431
2021,연,미국,0,0,77532,200076
2021,연,베트남,109,14,0,0
2021,연,보스니아헤르체고비나,,,,
2021,연,볼리비아,0,0,73608,268181
2021,연,세르비아,0,0,13662,38096
2021,연,스웨덴,,,,
2021,연,스위스,0,0,0,1
2021,연,스페인,0,0,6507,6658
2021,연,싱가포르,43,30,43,156
2021,연,UAE,,,,
2021,연,온두라스,0,0,14830,34816
2021,연,일본,22,63,0,0
2021,연,중국,271,124,0,0
2021,연,칠레,0,0,483,1276
2021,연,캐나다,,,,
2021,연,태국,657,440,0,0
2021,연,터키,0,0,5113,11507
2021,연,페루,0,0,165234,444190
2021,연,호주,0,0,138792,365783
2020,아연,남아프리카공화국,0,0,107677,70817
2020,아연,네덜란드,0,0,0,0
2020,아연,대만,0,0,0,0
2020,아연,러시아연방,0,0,17787,11342
2020,아연,마케도니아,,,,
2020,아연,말레이시아,0,0,0,0
2020,아연,멕시코,0,0,319974,306536
2020,아연,모로코,,,,
2020,아연,미국,0,0,142640,113775
2020,아연,방글라데시,,,,
2020,아연,베트남,0,0,478,329
2020,아연,볼리비아,0,0,168335,134699
2020,아연,사우디아라비아,,,,
2020,아연,세르비아,,,,
2020,아연,스페인,0,0,0,0
2020,아연,UAE,0,0,0,0
2020,아연,아르헨티나,0,0,6292,6634
2020,아연,알바니아,0,0,487,549
2020,아연,에리트리아,0,0,72293,51031
2020,아연,영국,,,,
2020,아연,인도네시아,0,0,60,31
2020,아연,일본,2419,2668,0,0
2020,아연,잠비아,0,0,106,23
2020,아연,중국,191,120,0,0
2020,아연,칠레,0,0,30686,24457
2020,아연,캐나다,0,0,23747,20118
2020,아연,태국,179,5,0,0
2020,아연,터키,0,0,20141,16032
2020,아연,파키스탄,0,0,0,0
2020,아연,페루,0,0,423809,251228
2020,아연,프랑스,,,,
2020,아연,핀란드,2727,2374,0,0
2020,아연,호주,18047,14716,614215,334093
2021,아연,남아프리카공화국,0,0,56913,53314
2021,아연,네덜란드,0,0,0,0
2021,아연,대만,,,,
2021,아연,러시아연방,0,0,13508,16407
2021,아연,마케도니아,0,0,896,914
2021,아연,말레이시아,0,0,0,0
2021,아연,멕시코,0,0,229823,332112
2021,아연,모로코,0,0,1408,1545
2021,아연,미국,0,0,164582,204776
2021,아연,방글라데시,0,0,198,163
2021,아연,베트남,0,0,1729,1712
2021,아연,볼리비아,0,0,121552,161997
2021,아연,사우디아라비아,0,0,10936,13432
2021,아연,세르비아,0,0,4820,6243
2021,아연,스페인,0,0,9406,10283
2021,아연,UAE,0,0,0,0
2021,아연,아르헨티나,0,0,9753,13889
2021,아연,알바니아,0,0,38490,9556
2021,아연,에리트리아,0,0,91844,101837
2021,아연,영국,0,0,0,0
2021,아연,인도네시아,0,0,2799,3645
2021,아연,일본,3810,5515,0,0
2021,아연,잠비아,,,,
2021,아연,중국,60,18,0,0
2021,아연,칠레,0,0,25895,25228
2021,아연,캐나다,0,0,45621,58689
2021,아연,태국,,,,
2021,아연,터키,0,0,7408,8281
2021,아연,파키스탄,0,0,1399,1419
2021,아연,페루,0,0,375409,423114
2021,아연,프랑스,0,0,0,0
2021,아연,핀란드,,,,
2021,아연,호주,19934,29146,605372,596329
2020,철,남아프리카공화국,0,0,4345059,521210
2020,철,네덜란드,0,0,80,32
2020,철,독일,0,0,0,1
2020,철,멕시코,0,0,0,2
2020,철,모리타니,,,,
2020,철,미국,0,0,0,0
2020,철,바레인,,,,
2020,철,베트남,,,,
2020,철,볼리비아,,,,
2020,철,브라질,0,0,8482164,965426
2020,철,스웨덴,0,0,9,8
2020,철,영국,0,0,0,0
2020,철,우루과이,0,0,0,3
2020,철,우크라이나,0,0,81593,10430
2020,철,이탈리아,,,,
2020,철,인도,0,0,536431,59441
2020,철,인도네시아,,,,
2020,철,일본,39,4,0,0
2020,철,중국,261521,9390,168726,27246
2020,철,칠레,0,0,167727,21346
2020,철,캐나다,0,0,3348386,347597
2020,철,프랑스,,,,
2020,철,필리핀,0,0,0,0
2020,철,호주,3,0,53243101,4976639
2021,철,남아프리카공화국,0,0,4506163,918746
2021,철,네덜란드,0,0,90,40
2021,철,독일,0,0,0,1
2021,철,멕시코,,,,
2021,철,모리타니,0,0,0,1
2021,철,미국,0,0,0,3
2021,철,바레인,0,0,336321,84519
2021,철,베트남,1,0,0,0
2021,철,볼리비아,,,0,0
2021,철,브라질,0,0,8455746,1547005
2021,철,스웨덴,0,0,6,5
2021,철,영국,0,0,0,0
2021,철,우루과이,0,0,0,8
2021,철,우크라이나,0,0,55189,12414
2021,철,이탈리아,0,3,0,0
2021,철,인도,0,0,903139,187526
2021,철,인도네시아,6,3,0,0
2021,철,일본,0,0,0,1
2021,철,중국,302511,17432,32704,9908
2021,철,칠레,0,0,599128,118742
2021,철,캐나다,0,0,3912920,678680
2021,철,프랑스,0,0,0,0
2021,철,필리핀,0,0,13,1
2021,철,호주,0,0,55285371,8517308
2020,알루미늄,기니,0,0,0,0
2020,알루미늄,네덜란드,0,0,24,20
2020,알루미늄,독일,0,0,0,0
2020,알루미늄,미국,,,,
2020,알루미늄,브라질,,,,
2020,알루미늄,싱가포르,0,0,0,0
2020,알루미늄,인도,0,0,2762,270
2020,알루미늄,인도네시아,11,2,0,0
2020,알루미늄,일본,1,7,0,0
2020,알루미늄,중국,15,12,20253,7182
2020,알루미늄,프랑스,0,0,0,4
2020,알루미늄,호주,0,0,311108,18587
2021,알루미늄,기니,,,,
2021,알루미늄,네덜란드,0,0,48,42
2021,알루미늄,독일,,,,
2021,알루미늄,미국,0,0,0,0
2021,알루미늄,브라질,0,0,0,0
2021,알루미늄,싱가포르,0,0,0,0
2021,알루미늄,인도,0,0,2334,279
2021,알루미늄,인도네시아,116,14,0,0
2021,알루미늄,일본,0,0,0,0
2021,알루미늄,중국,40,31,25910,9858
2021,알루미늄,프랑스,0,0,0,0
2021,알루미늄,호주,0,0,396248,22947
2020,텅스텐,몽골,0,0,1,2
2020,텅스텐,미국,0,0,0,0
2020,텅스텐,베트남,866,1442,0,0
2020,텅스텐,볼리비아,0,0,160,2488
2020,텅스텐,싱가포르,,,,
2020,텅스텐,인도,0,0,0,0
2020,텅스텐,일본,0,0,0,1
2020,텅스텐,중국,0,0,0,29
2020,텅스텐,포루투갈,23,1,0,0
2020,텅스텐,호주,0,0,0,0
2020,텅스텐,홍콩,100,1668,0,0
2021,텅스텐,몽골,,,,
2021,텅스텐,미국,0,0,0,0
2021,텅스텐,베트남,7,83,0,0
2021,텅스텐,볼리비아,,,,
2021,텅스텐,싱가포르,0,0,0,3
2021,텅스텐,인도,,,,
2021,텅스텐,일본,0,1,0,0
2021,텅스텐,중국,0,0,1,57
2021,텅스텐,포루투갈,1,0,0,1
2021,텅스텐,호주,,,,
2021,텅스텐,홍콩,,,,
2020,몰리브덴,네덜란드,0,0,40,447
2020,몰리브덴,대만,20,195,138,1656
2020,몰리브덴,독일,0,0,0,1
2020,몰리브덴,러시아연방,0,0,20,264
2020,몰리브덴,말레이시아,0,0,54,668
2020,몰리브덴,멕시코,0,0,8871,93256
2020,몰리브덴,몽골,0,0,825,6150
2020,몰리브덴,미국,0,0,6802,60310
2020,몰리브덴,베트남,6599,5334,964,10971
2020,몰리브덴,벨기에,0,0,3011,33822
2020,몰리브덴,아르메니아,0,0,1228,11171
2020,몰리브덴,아르헨티나,0,0,22,243
2020,몰리브덴,영국,0,0,0,0
2020,몰리브덴,이란,,,,
2020,몰리브덴,인도,96,1061,0,0
2020,몰리브덴,일본,688,7957,10,46
2020,몰리브덴,중국,1336,12571,20,201
2020,몰리브덴,칠레,0,0,16586,186326
2020,몰리브덴,카자흐스탄,0,0,324,2739
2020,몰리브덴,태국,1440,1048,396,4396
2020,몰리브덴,페루,0,0,710,6001
2021,몰리브덴,네덜란드,140,3197,0,2
2021,몰리브덴,대만,476,8808,37,514
2021,몰리브덴,독일,0,0,0,5
2021,몰리브덴,러시아연방,,,,
2021,몰리브덴,말레이시아,,,,
2021,몰리브덴,멕시코,0,0,9365,164292
2021,몰리브덴,몽골,0,0,661,9428
2021,몰리브덴,미국,0,0,2211,38585
2021,몰리브덴,베트남,5037,7055,1613,30675
2021,몰리브덴,벨기에,0,0,920,17513
2021,몰리브덴,아르메니아,0,0,1074,16828
2021,몰리브덴,아르헨티나,0,0,653,9613
2021,몰리브덴,영국,,,,
2021,몰리브덴,이란,0,0,42,626
2021,몰리브덴,인도,40,512,0,0
2021,몰리브덴,일본,2989,65850,83,582
2021,몰리브덴,중국,363,4544,3846,82446
2021,몰리브덴,칠레,0,0,19089,346703
2021,몰리브덴,카자흐스탄,0,0,281,3315
2021,몰리브덴,태국,332,360,240,5024
2021,몰리브덴,페루,0,0,3603,53184
2020,티타늄,남아프리카공화국,0,0,1880,2444
2020,티타늄,네덜란드,0,0,0,0
2020,티타늄,노르웨이,0,0,18,3628
2020,티타늄,대만,0,0,0,0
2020,티타늄,독일,,,,
2020,티타늄,라이베리아,0,0,0,0
2020,티타늄,말레이시아,64,85,0,0
2020,티타늄,모잠비크,,,,
2020,티타늄,미국,,,,
2020,티타늄,베트남,0,0,4140,1161
2020,티타늄,세네갈,0,0,2860,3205
2020,티타늄,스리랑카,0,0,0,0
2020,티타늄,스페인,,,,
2020,티타늄,시에라리온,0,0,1442,2057
2020,티타늄,오스트리아,0,0,120,162
2020,티타늄,우크라이나,0,0,3162,4382
2020,티타늄,이집트,,,,
2020,티타늄,인도,4,9,30000,9405
2020,티타늄,중국,274945,18488,126,188
2020,티타늄,캐나다,0,0,0,0
2020,티타늄,케냐,0,0,527,748
2020,티타늄,태국,0,0,24,7
2020,티타늄,호주,0,0,13027,7996
2020,티타늄,홍콩,,,,
2021,티타늄,남아프리카공화국,0,0,2000,2637
2021,티타늄,네덜란드,0,0,0,0
2021,티타늄,노르웨이,0,0,42772,10330
2021,티타늄,대만,0,0,38,77
2021,티타늄,독일,0,0,24,27
2021,티타늄,라이베리아,,,,
2021,티타늄,말레이시아,0,0,104,27
2021,티타늄,모잠비크,0,0,200,113
2021,티타늄,미국,0,0,0,0
2021,티타늄,베트남,0,0,42950,18963
2021,티타늄,세네갈,0,0,2580,3199
2021,티타늄,스리랑카,0,0,72,19
2021,티타늄,스페인,0,0,0,6
2021,티타늄,시에라리온,0,0,2460,3689
2021,티타늄,오스트리아,,,,
2021,티타늄,우크라이나,0,0,4080,7290
2021,티타늄,이집트,0,0,0,0
2021,티타늄,인도,0,0,11000,3839
2021,티타늄,중국,302062,23438,745,915
2021,티타늄,캐나다,0,0,0,0
2021,티타늄,케냐,0,0,3566,5259
2021,티타늄,태국,0,0,92,37
2021,티타늄,호주,0,0,5058,2494
2021,티타늄,홍콩,0,0,0,0
2020,망간,가봉,0,0,116631,19748
2020,망간,남아프리카공화국,0,0,428166,80174
2020,망간,네덜란드,0,0,60,43
2020,망간,대만,0,0,1145,32
2020,망간,독일,,,,
2020,망간,모로코,0,0,0,0
2020,망간,미국,0,0,323,446
2020,망간,볼리비아,,,,
2020,망간,브라질,0,0,0,0
2020,망간,인도,,,,
2020,망간,일본,0,0,2,13
2020,망간,중국,0,0,83,31
2020,망간,호주,0,0,520017,112683
2021,망간,가봉,0,0,101970,21580
2021,망간,남아프리카공화국,0,0,717245,147818
2021,망간,네덜란드,0,0,80,57
2021,망간,대만,0,0,588,12
2021,망간,독일,0,0,0,0
2021,망간,모로코,,,,
2021,망간,미국,0,0,380,539
2021,망간,볼리비아,0,0,0,0
2021,망간,브라질,,,,
2021,망간,인도,0,0,0,0
2021,망간,일본,0,0,0,0
2021,망간,중국,0,0,34,13
2021,망간,호주,0,0,504798,120337
2020,주석,나이지리아,,,,
2020,주석,대만,0,0,10,47
2020,주석,미국,,,,
2020,주석,미얀마,0,0,0,0
2020,주석,베트남,0,11,0,0
2020,주석,세네갈,,,,
2020,주석,인도,0,5,0,0
2020,주석,인도네시아,,,,
2020,주석,중국,2,60,0,0
2020,주석,콩고민주공화국,,,,
2021,주석,나이지리아,0,0,1,17
2021,주석,대만,,,,
2021,주석,미국,0,0,0,0
2021,주석,미얀마,,,,
2021,주석,베트남,1,18,0,0
2021,주석,세네갈,0,0,0,0
2021,주석,인도,0,5,0,0
2021,주석,인도네시아,0,3,0,0
2021,주석,중국,1,53,0,0
2021,주석,콩고민주공화국,0,0,0,0
2020,니켈,네덜란드,0,0,0,0
2020,니켈,뉴칼레도니아,0,0,2932121,203586
2020,니켈,룩셈부르크,,,,
2020,니켈,말레이시아,0,0,0,0
2020,니켈,미국,0,0,0,0
2020,니켈,베트남,0,0,0,0
2020,니켈,우루과이,0,0,0,2
2020,니켈,일본,18,9,0,0
2020,니켈,중국,22,2,22,6
2020,니켈,카자흐스탄,,,,
2020,니켈,터키,14,41,0,0
2020,니켈,필리핀,,,,
2020,니켈,호주,,,,
2020,니켈,홍콩,0,0,0,1
2021,니켈,네덜란드,0,0,0,5
2021,니켈,뉴칼레도니아,0,0,3076534,330115
2021,니켈,룩셈부르크,0,0,0,0
2021,니켈,말레이시아,,,,
2021,니켈,미국,0,0,0,0
2021,니켈,베트남,,,,
2021,니켈,우루과이,,,,
2021,니켈,일본,86,42,0,0
2021,니켈,중국,0,0,0,0
2021,니켈,카자흐스탄,0,0,0,0
2021,니켈,터키,,,,
2021,니켈,필리핀,0,0,105000,10563
2021,니켈,호주,0,0,0,0
2021,니켈,홍콩,,,,
2020,코발트,미국,0,0,0,0
2020,코발트,잠비아,,,,
2020,코발트,중국,0,0,,
2020,코발트,프랑스,,,0,1
2021,코발트,미국,,,0,0
2021,코발트,잠비아,0,0,0,0
2021,코발트,중국,0,0,,
2021,코발트,프랑스,,,0,0
2020,크롬,남아프리카공화국,0,0,120,42
2020,크롬,네덜란드,,,,
2020,크롬,대만,,,,
2020,크롬,독일,0,0,36,40
2020,크롬,벨기에,0,0,0,1
2020,크롬,인도,0,0,0,0
2020,크롬,일본,0,0,40,61
2020,크롬,중국,1438,189,1135,412
2020,크롬,파키스탄,0,0,24,7
2020,크롬,필리핀,0,0,0,0
2021,크롬,남아프리카공화국,0,0,180,99
2021,크롬,네덜란드,0,0,25,13
2021,크롬,대만,2,2,0,0
2021,크롬,독일,0,0,8,9
2021,크롬,벨기에,0,0,0,3
2021,크롬,인도,,,,
2021,크롬,일본,20,11,30,45
2021,크롬,중국,44,17,191,78
2021,크롬,파키스탄,0,0,1320,585
2021,크롬,필리핀,,,,
2020,탄탈륨,라이베리아,0,0,0,0
2020,탄탈륨,미국,0,0,0,0
2020,탄탈륨,중국,0,0,0,6
2020,탄탈륨,케냐,,,,
2021,탄탈륨,라이베리아,,,,
2021,탄탈륨,미국,,,,
2021,탄탈륨,중국,0,0,0,15
2021,탄탈륨,케냐,0,0,0,0
2020,니오븀,미국,,,,
2020,니오븀,슬로베니아,,,,
2020,니오븀,일본,0,0,0,2
2020,니오븀,중국,,,,
2021,니오븀,미국,0,0,0,11
2021,니오븀,슬로베니아,0,0,0,0
2021,니오븀,일본,,,,
2021,니오븀,중국,0,0,0,12
2020,바나듐,네덜란드,0,0,389,243
2020,바나듐,뉴질랜드,0,0,1,1
2020,바나듐,대만,70,38,0,0
2020,바나듐,베트남,2902,2092,0,0
2020,바나듐,인도,199,90,0,0
2020,바나듐,캄보디아,,,,
2020,바나듐,태국,,,,
2021,바나듐,네덜란드,,,,
2021,바나듐,뉴질랜드,,,,
2021,바나듐,대만,,,,
2021,바나듐,베트남,5742,5004,0,0
2021,바나듐,인도,253,152,0,0
2021,바나듐,캄보디아,692,642,0,0
2021,바나듐,태국,1263,1089,0,0
2020,리튬,대만,0,5,0,0
2020,리튬,독일,0,0,0,2
2020,리튬,러시아연방,505,4003,1725,15454
2020,리튬,말레이시아,58,1383,0,0
2020,리튬,미국,0,0,253,3702
2020,리튬,방글라데시,,,,
2020,리튬,베트남,0,0,0,0
2020,리튬,벨기에,25,341,0,0
2020,리튬,스위스,0,0,0,0
2020,리튬,슬로베니아,0,0,12,453
2020,리튬,싱가포르,0,0,0,0
2020,리튬,UAE,1,17,0,0
2020,리튬,아르헨티나,0,0,537,3249
2020,리튬,영국,0,0,9,152
2020,리튬,인도,0,0,0,1
2020,리튬,인도네시아,2,50,0,0
2020,리튬,일본,149,1930,1,20
2020,리튬,중국,804,10499,32126,384756
2020,리튬,칠레,0,0,32690,343047
2020,리튬,카자흐스탄,0,0,0,0
2020,리튬,캐나다,0,0,0,0
2020,리튬,크로아티아,0,0,9,225
2020,리튬,태국,0,1,0,0
2020,리튬,파키스탄,0,3,0,0
2020,리튬,폴란드,,,,
2020,리튬,헝가리,81,2081,0,0
2020,리튬,홍콩,0,0,0,0
2021,리튬,대만,0,3,0,0
2021,리튬,독일,0,0,1,72
2021,리튬,러시아연방,1179,9600,2823,28803
2021,리튬,말레이시아,61,1502,0,0
2021,리튬,미국,0,0,479,5620
2021,리튬,방글라데시,0,0,0,0
2021,리튬,베트남,,,,
2021,리튬,벨기에,1,5,0,0
2021,리튬,스위스,,,,
2021,리튬,슬로베니아,0,0,6,264
