광종,기간,시장위험지수
코발트,2023-01-08,0.825371843
코발트,2023-02-08,0.395298957
코발트,2023-03-08,0.359196315
코발트,2023-04-08,0.243826589
코발트,2023-05-08,0.187336804
코발트,2023-06-08,0.270030466
코발트,2023-07-08,1.158316807
코발트,2023-08-08,15.6460709
코발트,2023-09-08,3.448687436
코발트,2023-10-08,8.947795506
코발트,2023-11-08,42.31122946
코발트,2023-12-08,61.83953004
코발트,2023-01-09,55.79287616
코발트,2023-02-09,64.32355167
코발트,2023-03-09,69.51446526
코발트,2023-04-09,60.89745023
코발트,2023-05-09,61.21321384
코발트,2023-06-09,65.08127127
코발트,2023-07-09,50.93052035
코발트,2023-08-09,44.82749458
코발트,2023-09-09,49.61087728
코발트,2023-10-09,53.95024042
코발트,2023-11-09,36.2300453
코발트,2023-12-09,40.99191765
코발트,2023-01-10,41.14741573
코발트,2023-02-10,45.78051195
코발트,2023-03-10,49.66440392
코발트,2023-04-10,39.27333381
코발트,2023-05-10,49.96451816
코발트,2023-06-10,50.56713779
코발트,2023-07-10,53.45104344
코발트,2023-08-10,53.3269074
코발트,2023-09-10,45.66960255
코발트,2023-10-10,49.56909864
코발트,2023-11-10,57.25399743
코발트,2023-12-10,60.36154881
코발트,2023-01-11,52.98615722
코발트,2023-02-11,49.08919951
코발트,2023-03-11,51.03415666
코발트,2023-04-11,57.88166341
코발트,2023-05-11,55.53915883
코발트,2023-06-11,56.63865834
코발트,2023-07-11,60.91281509
코발트,2023-08-11,60.3016823
코발트,2023-09-11,59.99414778
코발트,2023-10-11,63.36584291
코발트,2023-11-11,68.43098382
코발트,2023-12-11,68.28768965
코발트,2023-01-12,66.34084755
코발트,2023-02-12,65.54297442
코발트,2023-03-12,68.70734713
코발트,2023-04-12,67.43949904
코발트,2023-05-12,67.93919707
코발트,2023-06-12,70.58461956
코발트,2023-07-12,73.66943004
코발트,2023-08-12,73.92679997
코발트,2023-09-12,70.76038418
코발트,2023-10-12,72.90929338
코발트,2023-11-12,76.44477943
코발트,2023-12-12,79.12591005
코발트,2023-01-13,75.06312278
코발트,2023-02-13,72.59586669
코발트,2023-03-13,76.23481302
코발트,2023-04-13,75.10039807
코발트,2023-05-13,72.16919146
코발트,2023-06-13,69.60854725
코발트,2023-07-13,68.42743289
코발트,2023-08-13,72.36551288
코발트,2023-09-13,69.20148478
코발트,2023-10-13,70.03476423
코발트,2023-11-13,73.94816775
코발트,2023-12-13,75.00907754
코발트,2023-01-14,68.44058706
코발트,2023-02-14,62.34093184
코발트,2023-03-14,60.94639637
코발트,2023-04-14,62.65592018
코발트,2023-05-14,65.12552995
코발트,2023-06-14,65.07328381
코발트,2023-07-14,62.29322131
코발트,2023-08-14,60.30352329
코발트,2023-09-14,61.49884035
코발트,2023-10-14,63.55055502
코발트,2023-11-14,66.09040344
코발트,2023-12-14,65.92645508
코발트,2023-01-15,63.77786425
코발트,2023-02-15,65.41771365
코발트,2023-03-15,69.3432241
코발트,2023-04-15,66.79671145
코발트,2023-05-15,65.84334593
코발트,2023-06-15,65.6645382
코발트,2023-07-15,66.09143053
코발트,2023-08-15,66.86644468
코발트,2023-09-15,70.05472262
코발트,2023-10-15,70.49016673
코발트,2023-11-15,75.57159908
코발트,2023-12-15,79.18199541
코발트,2023-01-16,78.89754002
코발트,2023-02-16,78.64594113
코발트,2023-03-16,77.64658616
코발트,2023-04-16,77.5676307
코발트,2023-05-16,77.86990497
코발트,2023-06-16,77.38827219
코발트,2023-07-16,75.88511535
코발트,2023-08-16,72.92862346
코발트,2023-09-16,71.59953825
코발트,2023-10-16,70.59237027
코발트,2023-11-16,68.31209462
코발트,2023-12-16,65.00015291
코발트,2023-01-17,60.24872159
코발트,2023-02-17,42.06862106
코발트,2023-03-17,21.3281495
코발트,2023-04-17,19.77736407
코발트,2023-05-17,20.50629515
코발트,2023-06-17,16.01030493
코발트,2023-07-17,14.35351826
코발트,2023-08-17,14.34563134
코발트,2023-09-17,13.74209311
코발트,2023-10-17,12.78494533
코발트,2023-11-17,12.11351697
코발트,2023-12-17,7.089883692
코발트,2023-01-18,4.755830221
코발트,2023-02-18,4.358686074
코발트,2023-03-18,3.572456836
코발트,2023-04-18,3.442435344
코발트,2023-05-18,3.588612743
코발트,2023-06-18,3.679262364
코발트,2023-07-18,4.171906833
코발트,2023-08-18,5.781927477
코발트,2023-09-18,5.729471109
코발트,2023-10-18,5.92461023
코발트,2023-11-18,7.288298006
코발트,2023-12-18,12.57202519
코발트,2023-01-19,39.67688574
코발트,2023-02-19,61.30304949
코발트,2023-03-19,71.60069053
코발트,2023-04-19,62.94878183
코발트,2023-05-19,62.57533697
코발트,2023-06-19,70.00327804
코발트,2023-07-19,76.13415142
코발트,2023-08-19,66.52094394
코발트,2023-09-19,57.74859191
코발트,2023-10-19,55.33153037
코발트,2023-11-19,58.02231988
코발트,2023-12-19,62.36657036
코발트,2023-01-20,57.51198402
코발트,2023-02-20,52.96390739
코발트,2023-03-20,56.37634586
코발트,2023-04-20,59.75791423
코발트,2023-05-20,63.17441335
코발트,2023-06-20,65.00386503
코발트,2023-07-20,68.01097665
코발트,2023-08-20,63.78562404
코발트,2023-09-20,61.62322577
코발트,2023-10-20,61.68120207
코발트,2023-11-20,60.84790002
코발트,2023-12-20,59.30083293
코발트,2023-01-21,46.10834872
코발트,2023-02-21,26.12570819
코발트,2023-03-21,18.60627991
코발트,2023-04-21,27.69497185
코발트,2023-05-21,36.33024975
코발트,2023-06-21,41.85892342
코발트,2023-07-21,27.31529438
코발트,2023-08-21,28.55687166
코발트,2023-09-21,12.44714949
코발트,2023-10-21,21.66479724
코발트,2023-11-21,15.72459192
코발트,2023-12-21,8.366610107
코발트,2023-01-22,8.052553672
코발트,2023-02-22,7.245625394
코발트,2023-03-22,3.460284055
코발트,2023-04-22,3.608392993
코발트,2023-05-22,3.895280292
코발트,2023-06-22,26.48301425
코발트,2023-07-22,40.58202584
코발트,2023-08-22,51.4763489
코발트,2023-09-22,37.62920643
코발트,2023-10-22,38.53467622
코발트,2023-11-22,45.01943675
코발트,2023-12-22,49.39768063
코발트,2023-01-23,60.19656236
코발트,2023-02-23,67.68067752
코발트,2023-03-23,66.96734071
